FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201301,1,0,1007276,431896,"D","01/01/2013 00:00:00",59,"M","In Water",201301
201301,16,0,1007277,431929,"I","01/16/2013 00:00:00",21,"M","Permanent Home",201301
201302,22,0,1007280,432073,"I","02/22/2013 00:00:00",55,"M","Vehicle/Towed Trailer",201302
201302,10,0,1007282,432835,"I","02/10/2013 00:00:00",26,"F","Vehicle/Towed Trailer",201302
201302,8,0,1007283,434997,"I","02/08/2013 00:00:00",50,"F","Vehicle/Towed Trailer",201302
201302,11,0,1007284,435346,"D","02/11/2013 00:00:00",58,"M","Outside/Open Areas",201302
201302,7,0,1007285,435577,"D","02/07/2013 00:00:00",60,"M","Permanent Structure",201302
201302,9,0,19964,435578,"D","02/09/2013 00:00:00",60,"M","Outside/Open Areas",201302
201302,25,0,19965,435579,"D","02/25/2013 00:00:00",56,"M","Outside/Open Areas",201302
201309,20,0,1007479,482552,"D","09/20/2013 00:00:00",30,"M","Boating",201309
201305,14,0,1007592,442002,"D","05/14/2013 00:00:00",22,"M","In Water",201305
201305,31,0,1007297,443650,"D","05/31/2013 00:00:00",22,"M","In Water",201305
201307,6,0,1007593,451380,"D","07/06/2013 00:00:00",30,"M","In Water",201307
201302,18,0,19971,435755,"I","02/18/2013 00:00:00",22,"M","Vehicle/Towed Trailer",201302
201302,9,0,19970,435861,"I","02/09/2013 00:00:00",60,"M","Outside/Open Areas",201302
201301,13,0,1007242,430080,"D","01/13/2013 00:00:00",19,"M","Vehicle/Towed Trailer",201301
201301,4,0,1007281,432653,"I","01/04/2013 00:00:00",,"","Vehicle/Towed Trailer",201301
201302,10,0,19968,435864,"I","02/10/2013 00:00:00",13,"M","Vehicle/Towed Trailer",201302
201302,10,0,19969,435864,"I","02/10/2013 00:00:00",,"M","Vehicle/Towed Trailer",201302
201302,11,0,1007286,435889,"I","02/11/2013 00:00:00",,"M","Outside/Open Areas",201302
201302,23,0,1007201,426115,"I","02/23/2013 00:00:00",51,"M","Vehicle/Towed Trailer",201302
201302,25,0,19671,427387,"I","02/25/2013 00:00:00",71,"M","Permanent Home",201302
201302,26,0,1007224,427696,"D","02/26/2013 00:00:00",61,"M","In Water",201302
201302,26,0,1007226,427801,"I","02/26/2013 00:00:00",81,"M","Outside/Open Areas",201302
201302,21,0,1007233,428124,"D","02/21/2013 00:00:00",74,"F","Mobile/Trailer Home",201302
201302,26,0,1007234,428333,"D","02/26/2013 00:00:00",60,"M","Vehicle/Towed Trailer",201302
201302,5,0,1007291,430416,"I","02/05/2013 00:00:00",28,"F","Vehicle/Towed Trailer",201302
201302,21,0,19797,430751,"D","02/21/2013 00:00:00",,"F","In Water",201302
201302,6,0,19997,436974,"I","02/06/2013 00:00:00",,"F","Vehicle/Towed Trailer",201302
201302,6,0,1007287,436974,"I","02/06/2013 00:00:00",,"M","Vehicle/Towed Trailer",201302
201302,6,0,1007288,436974,"I","02/06/2013 00:00:00",,"M","Vehicle/Towed Trailer",201302
201302,6,0,1007289,436974,"I","02/06/2013 00:00:00",,"M","Vehicle/Towed Trailer",201302
201303,1,0,1007227,427677,"D","03/01/2013 00:00:00",40,"M","Outside/Open Areas",201303
201303,3,0,1007223,427678,"D","03/03/2013 00:00:00",,"","Other",201303
201303,8,0,20022,438250,"D","03/08/2013 00:00:00",38,"F","In Water",201303
201303,1,0,1007292,438404,"D","03/01/2013 00:00:00",32,"M","Outside/Open Areas",201303
201303,11,0,20034,438818,"I","03/11/2013 00:00:00",56,"M","Vehicle/Towed Trailer",201303
201303,8,0,20026,438836,"D","03/08/2013 00:00:00",93,"F","Outside/Open Areas",201303
201303,17,0,1007293,440732,"D","03/17/2013 00:00:00",12,"F","Vehicle/Towed Trailer",201303
201303,22,0,20045,440735,"D","03/22/2013 00:00:00",23,"F","Vehicle/Towed Trailer",201303
201303,31,0,20057,441212,"I","03/31/2013 00:00:00",33,"M","Vehicle/Towed Trailer",201303
201303,31,0,20058,441212,"I","03/31/2013 00:00:00",71,"F","Vehicle/Towed Trailer",201303
201303,31,0,20059,441212,"I","03/31/2013 00:00:00",24,"M","Vehicle/Towed Trailer",201303
